Variety,Rootstock,Column,year,SSC,TA,pH,BerryWt,Yield_Avg,ClusterNum_Avg,Pruning_Avg,Ravaz_Index
Cabernet Sauvignon,039-16,4,1995,22,7.1,3.47,1.25,15.33333333,118,1.2,12.77777778
Cabernet Sauvignon,039-16,3,1995,22.2,6.9,3.4,1.11,16.33333333,121,1.266666667,12.89473684
Cabernet Sauvignon,039-16,2,1995,22.2,6.9,3.51,1.33,13.33333333,93.66666667,1.116666667,11.94029851
Cabernet Sauvignon,039-16,1,1995,22.6,5.9,3.49,0.84,8.333333333,95,0.596666667,13.96648045
Cabernet Sauvignon,101-14 MGT,1,1995,23,7.2,3.31,1.2,12.66666667,116.6666667,0.576666667,21.96531792
Cabernet Sauvignon,101-14 MGT,3,1995,23.8,7,3.48,1.17,14.66666667,107.3333333,1.1,13.33333333
Cabernet Sauvignon,101-14 MGT,2,1995,23,6.6,3.45,1.39,15.33333333,107,0.796666667,19.24686192
Cabernet Sauvignon,101-14 MGT,4,1995,22.4,7.2,3.53,1.16,12.33333333,111.3333333,1.266666667,9.736842105
Cabernet Sauvignon,110 Richter,3,1995,23.6,7.8,3.4,1.17,13,99,1.216666667,10.68493151
Cabernet Sauvignon,110 Richter,1,1995,22.4,7.3,3.32,1.18,18,107,1.1,16.36363636
Cabernet Sauvignon,110 Richter,4,1995,23.4,7.2,3.5,1.25,14,109.3333333,1.466666667,9.545454545
Cabernet Sauvignon,110 Richter,2,1995,22.2,6.6,3.5,1.1,13.66666667,105,0.863333333,15.83011583
Cabernet Sauvignon,1103 Paulsen,2,1995,23.4,7.3,3.35,1.1,13.66666667,104,1.133333333,12.05882353
Cabernet Sauvignon,1103 Paulsen,3,1995,23,7.4,3.44,1.25,14.66666667,92,1.633333333,8.979591837
Cabernet Sauvignon,1103 Paulsen,1,1995,21.6,7.5,3.37,1.38,13.66666667,113.3333333,1.066666667,12.8125
Cabernet Sauvignon,1103 Paulsen,4,1995,22.2,7.1,3.58,1.21,13.66666667,101.3333333,1.4,9.761904762
Cabernet Sauvignon,140Ru,2,1995,22.2,6.9,3.41,0.95,13,166,0.693333333,18.75
Cabernet Sauvignon,140Ru,1,1995,21.6,7.1,3.33,1.11,11.66666667,134.3333333,0.52,22.43589744
Cabernet Sauvignon,140Ru,3,1995,22.2,7.2,3.43,1.14,13.33333333,153,1.133333333,11.76470588
Cabernet Sauvignon,140Ru,4,1995,22,6.6,3.6,1.11,10.5,114,0.963333333,10.89965398
Cabernet Sauvignon,3309 Couderc,1,1995,23.2,7.5,3.35,1.25,14.33333333,114.6666667,1.193333333,12.01117318
Cabernet Sauvignon,3309 Couderc,2,1995,23,7.3,3.44,1.38,14.66666667,113.6666667,1.166666667,12.57142857
Cabernet Sauvignon,3309 Couderc,4,1995,22.8,7.2,3.47,1.19,13.66666667,95,1.2,11.38888889
Cabernet Sauvignon,3309 Couderc,3,1995,22.6,7.3,3.49,1.36,15,107.6666667,1.4,10.71428571
Cabernet Sauvignon,420 A,2,1995,23.4,7.7,3.44,1.32,9.833333333,92,0.633333333,15.52631579
Cabernet Sauvignon,420 A,1,1995,23.6,7.4,3.31,1.21,13.06666667,99,0.806666667,16.19834711
Cabernet Sauvignon,420 A,4,1995,22.2,6.9,3.5,1.16,13,102,0.976666667,13.3105802
Cabernet Sauvignon,420 A,3,1995,22,7.2,3.49,1.13,13.33333333,122.3333333,0.96,13.88888889
Cabernet Sauvignon,775 Paulsen,1,1995,22.8,7,3.38,0.9,12.73333333,124.3333333,0.883333333,14.41509434
Cabernet Sauvignon,775 Paulsen,4,1995,22.6,7.3,3.44,1.04,11.73333333,108.3333333,0.95,12.35087719
Cabernet Sauvignon,775 Paulsen,2,1995,22,7.4,3.36,1.11,12.6,138.5,0.916666667,13.74545455
Cabernet Sauvignon,775 Paulsen,3,1995,22,6.9,3.53,1.04,10.43333333,137.6666667,1.04,10.03205128
Cabernet Sauvignon,Freedom,4,1995,23.8,6.9,3.61,1.24,14.33333333,99.66666667,1.533333333,9.347826087
Cabernet Sauvignon,Freedom,3,1995,23.2,7.5,3.51,1.18,16.66666667,132.6666667,1.6,10.41666667
Cabernet Sauvignon,Freedom,1,1995,22.4,6.9,3.42,1.29,13.73333333,100.3333333,0.846666667,16.22047244
Cabernet Sauvignon,Freedom,2,1995,22.4,7.3,3.48,1.26,17,116,1.05,16.19047619
Cabernet Sauvignon,K51-32,4,1995,22.2,7.3,3.5,1.3,15,122.6666667,1.166666667,12.85714286
Cabernet Sauvignon,K51-32,3,1995,22.8,7.3,3.56,1.28,14,103.6666667,1.333333333,10.5
Cabernet Sauvignon,K51-32,2,1995,22,7,3.54,1.28,11,99.66666667,0.77,14.28571429
Cabernet Sauvignon,K51-32,1,1995,22.8,7,3.55,1.39,15.33333333,97.66666667,0.95,16.14035088
Cabernet Sauvignon,Kober 5BB,2,1995,22,7,3.47,1.1,13.66666667,113,0.703333333,19.43127962
Cabernet Sauvignon,Kober 5BB,4,1995,22.4,6.8,3.49,1.08,11.66666667,118,0.843333333,13.83399209
Cabernet Sauvignon,Kober 5BB,1,1995,23.2,6.5,3.45,0.72,6.866666667,133.6666667,0.363333333,18.89908257
Cabernet Sauvignon,Kober 5BB,3,1995,22.8,7.4,3.39,1.1,14,113.3333333,0.963333333,14.53287197
Cabernet Sauvignon,Ramsey,4,1995,22.4,6.9,3.52,1.23,15.33333333,110.3333333,1.2,12.77777778
Cabernet Sauvignon,Ramsey,1,1995,22.6,7.9,3.41,1.41,16,97.66666667,1.156666667,13.83285303
Cabernet Sauvignon,Ramsey,3,1995,21.6,8,3.47,1.25,20.33333333,127,1.466666667,13.86363636
Cabernet Sauvignon,Ramsey,2,1995,21.4,6.5,3.45,1.12,10.86666667,80.33333333,1.006666667,10.79470199
Cabernet Sauvignon,Schwarzmann,2,1995,23,6.8,3.44,1.18,12.2,102.3333333,0.963333333,12.66435986
Cabernet Sauvignon,Schwarzmann,1,1995,22.4,6.6,3.39,1.13,13.66666667,98.33333333,1.01,13.53135314
Cabernet Sauvignon,Schwarzmann,4,1995,22,7.1,3.43,1.15,12.16666667,101.3333333,0.83,14.65863454
Cabernet Sauvignon,Schwarzmann,3,1995,22,6.1,3.78,1.17,9.9,83.66666667,0.763333333,12.96943231
Cabernet Sauvignon,SO4,2,1995,21,7.3,3.38,1.13,15.5,131.5,0.77,20.12987013
Cabernet Sauvignon,SO4,4,1995,22.2,6.3,3.57,1.1,11,101.6666667,0.77,14.28571429
Cabernet Sauvignon,SO4,1,1995,21.6,7.5,3.31,0.87,14.5,148.5,0.55,26.36363636
Cabernet Sauvignon,SO4,3,1995,21.4,7.3,3.37,1.1,11.96666667,121,0.85,14.07843137
Cabernet Sauvignon,Teleki 5C,3,1995,23,6.7,3.61,1.32,14.66666667,96.33333333,1.266666667,11.57894737
Cabernet Sauvignon,Teleki 5C,4,1995,22.2,6.6,3.44,1.14,12,95,1,12
Cabernet Sauvignon,Teleki 5C,2,1995,23.4,7,3.33,1.1,12.66666667,94.66666667,0.87,14.55938697
Cabernet Sauvignon,Teleki 5C,1,1995,22,6.8,3.45,1.12,8,89.33333333,0.516666667,15.48387097
Chardonnay,039-16,1,1995,22.6,7.6,3.18,1.3,8.9,47,0.496666667,17.91946309
Chardonnay,039-16,2,1995,21.4,8.2,3.21,1.4,14.66666667,63,0.656666667,22.33502538
Chardonnay,039-16,3,1995,21.8,6.6,3.56,1.3,10.16666667,78.66666667,0.853333333,11.9140625
Chardonnay,039-16,4,1995,22.4,7.1,3.32,1.45,12.33333333,70.66666667,0.996666667,12.37458194
Chardonnay,101-14 MGT,1,1995,23,6.7,3.24,1.44,14,69.33333333,0.913333333,15.32846715
Chardonnay,101-14 MGT,2,1995,23.2,7.1,3.26,1.28,10.36666667,57,0.4,25.91666667
Chardonnay,101-14 MGT,3,1995,22.6,6.7,3.21,1.18,13.66666667,81.33333333,0.78,17.52136752
Chardonnay,101-14 MGT,4,1995,22.2,8.3,3.26,1.35,12.03333333,62.66666667,0.62,19.40860215
Chardonnay,110 Richter,1,1995,23,7.6,3.32,1.42,11.26666667,58,0.983333333,11.45762712
